%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
71.0, -133251.64565463612, -159378.19741704434, -20090.01613736345, -100392.77081403385, 64536.594097208275, -78767.14512910189, 52753.179103515045, -115433.68434115463, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790134504E9, 0.0, 2022-10-21 19:14:39.013
72.0, -133261.14514602962, -159396.68230970888, -20090.574930974835, -100372.92246495753, 64538.002257108965, -78761.75835868817, 52763.39385073112, -115437.64059992321, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790134943E9, 0.0, 2022-10-21 19:14:39.013
73.0, -133278.87007938267, -159416.2847895962, -20105.03650963742, -100377.92925571553, 64527.58634419279, -78769.04502738059, 52764.980824587445, -115441.32863775834, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790135293E9, 0.0, 2022-10-21 19:14:39.013
74.0, -133304.73104771748, -159439.37414161852, -20126.538887803425, -100413.66969509957, 64512.700082385556, -78788.46869331226, 52745.557158655785, -115455.00790536498, 0.06, 0.9440000000000001, 0.124, 192.0, 1.0, 224.0, 29.0, 128.0, 3.0, 224.0, 0.0, 0.0, 0.0, 1.666404879013553E9, 0.0, 2022-10-21 19:14:39.013
75.0, -133297.8020069363, -159431.14869965895, -20109.417451550657, -100412.12742473214, 64528.79333839338, -78785.58531827752, 52749.200493002, -115433.997265577, 0.06, 0.9440000000000001, 0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790135822E9, 0.0, 2022-10-21 19:14:39.013
76.0, -133301.57945174928, -159438.0330369512, -20108.411623050168, -100382.95839821798, 64539.54452747638, -78763.47944301122, 52768.11006881119, -115423.26842823846, 0.06, 0.9440000000000001, 0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790136063E9, 0.0, 2022-10-21 19:14:39.013
77.0, -133307.0109256519, -159442.883365498, -20118.40285282169, -100388.81455526526, 64527.76515814843, -78767.34629480199, 52769.317063011775, -115433.90785859918, 0.06, 0.9440000000000001, 0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66640487901363E9, 0.0, 2022-10-21 19:14:39.013
78.0, -133305.17808260658, -159437.76481601773, -20122.180297634637, -100408.26057294138, 64527.56399244833, -78782.61253626496, 52757.940025084026, -115431.27035275345, 0.06, 0.9440000000000001, 0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.666404879013654E9, 0.0, 2022-10-21 19:14:39.013
79.0, -133313.4705797995, -159442.86101375354, -20122.56027729038, -100417.04480851232, 64527.11695755923, -78794.50366431518, 52748.23936799042, -115446.2460215385, 0.06, 0.9440000000000001, 0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790136876E9, 0.0, 2022-10-21 19:14:39.013
80.0, -133320.31021360282, -159448.44894986736, -20125.93539070313, -100408.01470375237, 64518.556239432844, -78800.33746961803, 52745.60186214469, -115455.34318153182, 0.06, 0.9440000000000001, 0.124, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6664048790137117E9, 0.0, 2022-10-21 19:14:39.013
